sku,original_name,original_material,proposed_brand,proposed_colour,proposed_material,proposed_name,size,certifications
BGP-CS-9-WH,9″ x 9″ White Moulded Fibre Clamshell Box – Recyclable,fibre,,White,Fibre,Clamshell Box,9in,Recyclable
BGP,Large Bagasse Food Box – Compostable,bagasse,,,Bagasse,Food Box,large,""
BGP-TY-2,Medium Bagasse Chip Tray 7x5in Compostable,bagasse,,,Bagasse,Medium Chip Tray,5in,Compostable
VEG-BGG-12-2,Vegware 12oz / 360ml Gourmet Base Compostable,bagasse,Vegware,,,Gourmet Base,"12oz, 340ml",Compostable
VEG-BGG-12,Vegware 12oz / 360ml Gourmet Dipping Base Compostable,"bagasse, pp",Vegware,,,Gourmet Dipping Base,"12oz, 360ml",Compostable
VEG-BGP-CS-3,Vegware 12x6in Bagasse Clamshell Compostable,bagasse,Vegware,,Bagasse,Clamshell,6in,Compostable
VEG-BGG-16,Vegware 16oz / 500ml Gourmet Base Compostable,bagasse,Vegware,,,Gourmet Base,"16oz, 500ml",Compostable
VEG-BGG-18,Vegware 18oz / 550ml Gourmet Dipping Base Compostable,"",Vegware,,,Gourmet Dipping Base,"",""
VEG-BGG-22-2,Vegware 22oz / 650ml Gourmet Base Compostable,bagasse,Vegware,,,Gourmet Base,"22oz, 650ml",Compostable
VEG-BGG-32,Vegware 32oz / 1000ml Gourmet Base Compostable,"",Vegware,,,Gourmet Base,"",""
VEG-BGP-BG-3,Vegware 5in Bagasse Burger Box Recyclable Compostable,bagasse,Vegware,,Bagasse,Burger Box,5in,Compostable
VEG-BGP-BG-2,Vegware 6in Bagasse Burger Box Recyclable Compostable,bagasse,Vegware,,Bagasse,Burger Box,6in,Compostable
VEG-BGP-BG,Vegware 6in Heavyweight Bagasse Burger Box Compostable,bagasse,Vegware,,Bagasse,Heavyweight Burger Box,5in,Compostable
VEG-BGP-CS-7,Vegware 7x5in Bagasse Clamshell Recyclable Compostable,bagasse,Vegware,,Bagasse,Clamshell,5in,Compostable
VEG-BGP-CS-2,Vegware 7x5in Heavyweight Bagasse Clamshell Compostable,bagasse,Vegware,,Bagasse,Heavyweight Clamshell,5in,Compostable
VEG-BGP-CS-6,Vegware 7x7in Bagasse Clamshell Compostable,bagasse,Vegware,,Bagasse,Clamshell,7in,Compostable
VEG-BGP-SQ-RD,Vegware 8in Source Reduced Square Lunch Box Compostable,bagasse,Vegware,,,Source Reduced Square Lunch Box,8in,Compostable
VEG-BGP-SQ-2,Vegware 8in square Bagasse Lunch Box Recyclable Compostable,bagasse,Vegware,,Bagasse,square Lunch Box,8in,Compostable
VEG-BGP-SQ,Vegware 9in Square 3-Comp Bagasse Lunch Box Compostable,bagasse,Vegware,,Bagasse,Square 3-Comp Lunch Box,9in,Compostable
VEG-BGP-CS-4,Vegware 9x6in 2-Compartment Bagasse Clamshell Compostable,bagasse,Vegware,,Bagasse,2-Compartment Clamshell,6in,Compostable
VEG-BGP-CS-5,Vegware 9x6in Bagasse Clamshell Compostable,"bagasse, pla, fibre",Vegware,,Bagasse,Clamshell,"",Compostable
VEG-BGP-CS,Vegware 9x6in Heavyweight Bagasse Clamshell Compostable,bagasse,Vegware,,Bagasse,Heavyweight Clamshell,6in,Compostable
VEG-BGP-2,Vegware 9x8in Bagasse Lunch Box Compostable,"bagasse, pla, fibre",Vegware,,Bagasse,Lunch Box,"",Compostable
VEG-BGG-5,Vegware Compostable Bagasse Lid (Size 4),bagasse,Vegware,,Bagasse,Lid (Size 4),"",Compostable
VEG-BGG-42,Vegware Compostable Gourmet Base – 42oz / 1200ml (Fits Lid 5),pla,Vegware,,,Gourmet Base (Fits Lid 5),"42oz, 1200ml",Compostable
VEG-BGG-60,Vegware Compostable Gourmet Base – 60oz / 1800ml (Fits Lid 5),pla,Vegware,,,Gourmet Base (Fits Lid 5),"60oz, 1800ml",Compostable
VEG-BGG-4,Vegware Compostable PLA Lid (Size 4),pla,Vegware,,PLA,Lid (Size 4),"",Compostable
VEG-BGG,Vegware Compostable PLA lid (Size 5),pla,Vegware,,PLA,lid (Size 5),"",Compostable
VEG-BGG-6,Vegware Compostable Window Lid (Size 4),pla,Vegware,,,Window Lid (Size 4),"",Compostable
VEG-BGG-3,Vegware Compostable Window Lid (Size 5),"",Vegware,,,Window Lid (Size 5),"",Compostable
VEG-BGG-2,Vegware Gourmet Bagasse Lid (Size 5) Compostable,bagasse,Vegware,,Bagasse,Gourmet Lid (Size 5),"",Compostable
VEG-BGG-22,Vegware Gourmet Base – 22oz / 650ml Compostable,pla,Vegware,,,Gourmet Base,"22oz, 650ml",Compostable
VEG-BGP-TY,Vegware Medium Bagasse Chip Tray 7x5in Compostable,bagasse,Vegware,,Bagasse,Medium Chip Tray,5in,Compostable
VEG-BGG-8,Vegware Size 3 Bagasse Gourmet Lid Compostable,"bagasse, pet, pp, bamboo",Vegware,,Bagasse,Size 3 Gourmet Lid,"",Compostable
VEG-BGG-7,Vegware Size 3 PLA Gourmet Lid Compostable,pla,Vegware,,PLA,Size 3 Gourmet Lid,"",Compostable
BAG-12,12-Inch Foil-Lined Food Bags (7 x 9 x 12 Inches) Recyclable,"paper, foil",,,Foil,Lined Food Bags,12 inch,""
BAG-170-BK,Black Gingham 2 Open-Sided Bags 170mm x 160mm Food Safe Recyclable,"",,Black,,Gingham 2 Open-Sided Bags,"",""
BAG-170-BL,Blue Gingham 2 Open-Sided Bags 170mm x 160mm Food Safe Recyclable,"",,Blue,,Gingham 2 Open-Sided Bags,"",""
BAG-CR-BL,Blue Plastic Carrier Bags 11 x 17 x 21,"pla, plastic",,Blue,Plastic,Carrier Bags 21,"",""
BAG-KR-3,Brown Kraft Wide Bag/Takeaway Bag Recyclable (Case of 250),"kraft, paper",,Brown,Kraft,Wide Bag/Takeaway Bag,250mm,""
BAG-205-CL,"Clear Natureflex Bag 170 x 205mm Compostable (Case of 1,000)","pla, wood, pulp",,Clear,,Natureflex Bag,"",Compostable
BAG-210-CL,Clear Natureflex Bag 70 x 210mm Compostable (Case of 1000),"wood, pulp",,Clear,,Natureflex Bag,"",Compostable
BAG-350-CL-2,Clear Natureflex Baguette Bag 100 x 350mm Compostable (Case of 1000),"pla, wood, pulp",,Clear,,Natureflex Baguette Bag,"",Compostable
BAG-350-CL,Clear Natureflex Baguette Bag With Gusset 100 x 50 x 350mm Compostable (Case of 1000),"pla, wood, pulp",,Clear,,Natureflex Baguette Bag With Gusset,"",Compostable
BAG-180-CL,Clear Natureflex Multi Bag 220 x 180mm Compostable (Case of 1000),"pla, wood, pulp",,Clear,,Natureflex Multi Bag,"",Compostable
BAG-240-CL,Clear Natureflex Multi Bag with Gusset 150 x 50 x 240mm Compostable (Case of 1000),"pla, wood, pulp",,Clear,,Natureflex Multi Bag with Gusset,"",Compostable
BAG-170-2,Contact Grill Bag 170mm (Case of 600),paper,,,,Contact Grill Bag,40mm,"Compostable, Recyclable"
BAG-195,Contact Grill Bag 195mm (Case of 500),paper,,,,Contact Grill Bag,40mm,"Compostable, Recyclable"
BAG-RC-200,Contact Grill Bag 200mm Rectangular (Case of 1000),paper,,,,Contact Grill Bag Rectangular,40mm,"Compostable, Recyclable"
BAG-260,Contact Grill Bag 260mm (Case of 500),paper,,,,Contact Grill Bag,40mm,"Compostable, Recyclable"
BAG-320,Contact Grill Bag 320mm Compostable (Case of 600),paper,,,,Contact Grill Bag,40mm,"Compostable, Recyclable"
BAG-CR-2,Frosted Plastic Carrier Bag/Takeaway Bag Recyclable (Case of 300),"",,Frosted,Plastic,Carrier Bag/Takeaway Bag,270mm,""
BAG-170-KR,Kraft 2 Open-Sided Bags 170mm x 160mm Food Safe Recyclable,kraft,,,Kraft,2 Open-Sided Bags,"",""
BAG-GR-KR,Large Kraft Brown SOS Paper Grab Bag – Recyclable,"kraft, paper",,Brown,Kraft,Large SOS Grab Bag,40cm,Recyclable
BAG-CR-3,Large Recycled Paper Carrier 10in width Recyclable/Compostable (Case of 250),"kraft, paper, pla",,,Paper,Large Carrier width,"",Compostable
BAG-CR-4,Medium Recycled Paper Carrier 8.5in width Recyclable/Compostable (Case of 250),"kraft, paper, pla",,,Paper,Medium Carrier width,"",Compostable
BAG-170,Newspaper 2 Open-Sided Bags 170mm x 160mm Food Safe Recyclable,paper,,,,Newspaper 2 Open-Sided Bags,"",""
BAG-170-RD,Red Gingham 2 Open-Sided Bags 170mm x 160mm Food Safe Recyclable,"",,Red,,Gingham 2 Open-Sided Bags,"",""
BAG-CR-5,Small Recycled Paper Carrier 7in width Recyclable/Compostable (Case of 250),"kraft, paper, pla",,,Paper,Small Carrier width,"",Compostable
VEG-BAG-4,Vegware 4 x 2 x 14in Therma Paper Bag Compostable (Case of 500),paper,Vegware,,Paper,Therma Bag,"",""
VEG-BAG,Vegware 4x2x10in Glassine Bag With NatureFlex Window Compostable (Case 1000),"paper, pla, wood, pulp",Vegware,,,Glassine Bag With NatureFlex Window,"",Compostable
VEG-BAG-3,Vegware 5 x 2 x 11.5in Therma Paper Bag Compostable (Case of 500),paper,Vegware,,Paper,Therma Bag,"",""
VEG-BAG-5,Vegware 6.5 x 3 x 9in Therma Paper Bag Compostable (Case of 500),paper,Vegware,,Paper,Therma Bag,"",""
VEG-BAG-6,Vegware 62.5x10in Glassine Bag With NatureFlex Window Compostable (Case of 500),"paper, pla, wood, pulp",Vegware,,,Glassine Bag With NatureFlex Window,"",Compostable
VEG-BAG-2,Vegware 8 x 2 x 9in Therma Paper Pouch Compostable (Case of 500),"paper, pla",Vegware,,Paper,Therma Pouch,"",Compostable
VEG-BAG-KR,Vegware Kraft PLA Window Bag 10 X 10in Compostable (Case of 1000),"kraft, paper, pla",Vegware,,Kraft,Window Bag,"",Compostable
VEG-BAG-KR-2,Vegware Kraft PLA Window Bag 8.5 x 8.5in Compostable (Case of 1000),"kraft, paper, pla",Vegware,,Kraft,Window Bag,"",Compostable
VEG-BAG-7,Vegware Ovenable Wrap 11 x 13.5 x 8in Compostable (Case of 500),"kraft, paper, pla",Vegware,,,Ovenable Wrap,"",Compostable
VEG-BAG-KR-5,Vegware Recycled Kraft Flat Bag 10 x 10in Recyclable/Compostable (Case of 1000),"kraft, paper, pla",Vegware,,Kraft,Flat Bag,"",Compostable
VEG-BAG-KR-4,Vegware Recycled Kraft Flat Bag 12 x 12in Recyclable/Compostable (Case of 500),"kraft, paper",Vegware,,Kraft,Flat Bag,"",""
VEG-BAG-KR-7,Vegware Recycled Kraft Flat Bag 7 x 7in Recyclable/Compostable (Case of 1000),"kraft, paper",Vegware,,Kraft,Flat Bag,"",""
VEG-BAG-KR-6,Vegware Recycled Kraft Flat Bag 8 x 8in Recyclable/Compostable (Case of 1000),"kraft, paper",Vegware,,Kraft,Flat Bag,"",""
VEG-BAG-WH-2,Vegware Recycled White Kraft Flat Bag 10 x 10 Recyclable/Compostable (Case of 1000),"",Vegware,White,Kraft,Flat Bag 10,"",Compostable
VEG-BAG-WH,Vegware Recycled White Kraft Flat Bag 12.5 x 12in Recyclable/Compostable (Case of 500),"",Vegware,White,Kraft,Flat Bag,"",Compostable
VEG-BAG-WH-4,Vegware Recycled White Kraft Flat Bag 7 x 7 in Recyclable/Compostable (Case of 1000),"",Vegware,White,Kraft,Flat Bag,"",Compostable
VEG-BAG-WH-3,Vegware Recycled White Kraft Flat Bag 8 x 8 Recyclable/Compostable (Case of 1000),"",Vegware,White,Kraft,Flat Bag 8,"",Compostable
BAG-CR-WH-2,White Carrier Bags 11 x 17 x 21,paper,,White,,Carrier Bags 21,"",""
BAG-CR-WH,White Plastic Carrier Bags 12 x 19 x 23 – 25 Micron Strong,"pla, plastic",,White,Plastic,Carrier Bags 23 25 Micron Strong,"",""
BAG-CR,X Large Recycled Paper Carrier 13in width Recyclable/Compostable (Case of 200),"kraft, paper, pla",,,Paper,Large Carrier width,13 Inch,Compostable
LID-16-BK,12-16oz Black CPLA Sip-Thru Hot Cup Lid Compostable(Case of 1000),"pla, cpla, pp",,Black,CPLA,Sip-Thru Hot Cup Lid,16oz,Compostable
LID-16-WH,12-16oz White CPLA Sip-Thru Hot Cup Lid Compostable (Case of 1000),"pla, cpla",,White,CPLA,Sip-Thru Hot Cup Lid,"12oz, 16oz",Compostable
LID-16,12/16oz Paper Lid (PE Lined) RECYCLABLE,"paper, pla",,,Paper,Lid (PE Lined),"",Recyclable
CUP-12,12oz Aqueous Lined Takeaway Cup Compostable (Case of 500),pla,,,,Lined Takeaway Cup,8oz,Compostable
CUP-DW-12-KR-2,"12oz Double Wall Brown Kraft Hot Takeaway Cup, 89 Series Compostable","pla, plastic",,Brown,Kraft,"Double Wall Hot Takeaway Cup, 89 Series","",""
XMS-16,16oz Christmas Double-Wall Paper Cup – Compostable Recyclable,"",,,Paper,Christmas Double-Wall Cup,16oz,"Compostable, Recyclable"
CUP-DW-16-KR,"16oz Double Wall Brown Kraft Hot Takeaway Cup, 89 Series Compostable","pla, plastic",,Brown,Kraft,"Double Wall Hot Takeaway Cup, 89 Series","",""
CC-SH-25,25ml Plastic Shot Glasses – Recyclable,"pla, plastic",,,Plastic,Shot Glasses,25ml,""
CC-SH-25-2,25ml rPET Bomb Shot Glass Recyclable (Case of 1000),"rpet, pet",,,rPET,Bomb Shot Glass,25ml,Recyclable
LID-8-BK-2,8oz Black CPLA Sip-Thru Hot Cup Lid Compostable (Case of 1000),"pla, cpla",,Black,CPLA,Sip-Thru Hot Cup Lid,8oz,Compostable
LID-8,8oz Paper Lid (PE Lined) RECYCLABLE,paper,,,Paper,Lid (PE Lined),8oz,Recyclable
LID-8-WH-2,8oz White CPLA Sip-Thru Hot Cup Lid Compostable (Case of 1000),"pla, cpla",,White,CPLA,Sip-Thru Hot Cup Lid,8oz,Compostable
CC-9-3,9oz r-PET Squat Cold Cup Recyclable (Case of 1000),"pla, pet, plastic",,,,r- Squat Cold Cup,"9oz, 93mm",""
CC-22,Coke Zero 22oz Cold Cups – Recyclable,pp,,,,Coke Zero Cold Cups,"22oz, 90mm",""
CUP-DW-12-3,Edenware 12oz Double Wall Takeaway Cup Compostable (Case of 500),"kraft, paper",Edenware,,,Double Wall Takeaway Cup,12oz,Compostable
CUP-DW-8-3,Edenware 8oz Double Wall Takeaway Cup Compostable (Case of 500),"kraft, paper",Edenware,,,Double Wall Takeaway Cup,8oz,Compostable
CC-PN-6,"Half pint to brim PLA cup, UKCA UKNI CE mark",pla,,,PLA,Half pint to brim cup,"",""
CC-PN-285,HALF PINT TUMBLER (285ML) TO RIM (RPET) (Case of 1000),"rpet, pet",,,rPET,HALF PINT TUMBLER TO RIM,285ml,Recyclable
CC-CR-KR,Kraft Takeaway Pint Cup Carrier – 4 Cup inline Holder with Handle,"kraft, paper, pp",,,Kraft,Takeaway Pint Cup Carrier 4 Cup inline Holder with Handle,"",""
CC-22-2,Pepsi Max 22oz Cold Cups – Recyclable,pp,,,,Pepsi Max Cold Cups,"22oz, 90mm",""
CC-PN-568,PINT TUMBLER (568ML) TO RIM (RPET) Recyclable (Case of 1000),"rpet, pet",,,rPET,PINT TUMBLER TO RIM,568ml,Recyclable
CUP-DW-12-2,Planetware 12oz Double Wall Takeaway Cup Compostable Recyclable,"pla, pp, plastic",Planetware,,,Double Wall Takeaway Cup,12oz,"Compostable, Recyclable"
CUP-DW-6,Planetware 6oz Double Wall Takeaway Cup – Recyclable Compostable,"pla, plastic",Planetware,,,Double Wall Takeaway Cup,6oz,"Compostable, Recyclable"
CUP-DW-16-2,Planetware™ 16oz Double Wall Takeaway Cup Recyclable/Compostable,"paper, pla",Planetware,,,Double Wall Takeaway Cup,"8oz, 12oz, 16oz","Compostable, Recyclable"
CUP-DW-8-2,Planetware™ 8oz Double Wall Takeaway Cup Recyclable/Compostable,"pla, pp, plastic",Planetware,,,Double Wall Takeaway Cup,8oz,"Compostable, Recyclable"
CC-PN-4,Recyclable 2-in-1 Flexy Pint Glasses to Brim CE Marked,"pla, pp, plastic",,,,1 Flexy Pint Glasses to Brim,"",Recyclable
CC-PN-2,Recyclable Two Pint to Brim CE Marked Cup,"pla, plastic",,,,Two Pint to Brim Cup,44oz,Recyclable
CC-PN,Recyclable Two Pint to Line CE Marked Cup,"pla, plastic",,,,Two Pint to Line Cup,44oz,Recyclable
VEG-CUP-DW-10-KR,Vegware 10 oz Double Wall Brown Kraft Hot Cup 89-Series – Compostable,kraft,Vegware,Brown,Kraft,Double Wall Hot Cup 89-Series,10 oz,"Compostable, Recyclable"
VEG-CUP-DW-10,Vegware 10 oz Feel Good Double Wall Hot Cup 89-Series – Compostable,"pla, plastic",Vegware,,,Feel Good Double Wall Hot Cup 89-Series,10 oz,"Compostable, Recyclable"
VEG-CC-10,"Vegware 10oz paper cold cup, 89-Series Compostable","paper, pla",Vegware,,Paper,"cold cup, 89-Series",10oz,Compostable
VEG-CUP-SW-10-KR,"Vegware 10oz Single Wall Brown (Kraft) Takeaway Hot Cup, 89 Series Compostable","kraft, pla, plastic",Vegware,Brown,Kraft,"Single Wall Takeaway Hot Cup, 89 Series","",""
VEG-CUP-SW-10,"Vegware 10oz Single Wall Feel Good Takeaway Hot Cup, 89 Series Compostable","pla, plastic",Vegware,,,"Single Wall Feel Good Takeaway Hot Cup, 89 Series","",""
VEG-LID-16-WH-2,Vegware 12/16oz White Moulded Fibre Hot Cup Lid Compostable (Case of 1000),"bagasse, pla, plastic",Vegware,White,Fibre,Hot Cup Lid,"90mm, 16oz",Compostable
VEG-CUP-DW-12-BK,Vegware 12oz Black Double Wall Takeaway Cup,"paper, pla",Vegware,Black,,Double Wall Takeaway Cup,12oz,Compostable
VEG-CUP-DW-12-GN,"Vegware 12oz Double Wall Hot Takeaway Cup, 89 Series Green Britain Compostable",pla,Vegware,,,"Double Wall Hot Takeaway Cup, 89 Series Green Britain","",Recyclable
VEG-CUP-DW-12-GN-2,"Vegware 12oz Double Wall Hot Takeaway Cup, 89 Series Green Tree Recyclable/Compostable",pla,Vegware,,,"Double Wall Hot Takeaway Cup, 89 Series Green Tree","",Recyclable
VEG-CUP-DW-12-WH-2,"Vegware 12oz Double Wall White Takeaway Hot Cup, 89 Series, Compostable (Case of 500)",pla,Vegware,White,,"Double Wall Takeaway Hot Cup, 89 Series","",Recyclable
VEG-CUP-DW-12,Vegware 12oz Feel Good double wall hot cup Compostable,"",Vegware,,,Feel Good double wall hot cup,12oz,Compostable
VEG-CUP-DW-12-4,"Vegware 12oz Gallery Design Double Wall Hot Takeaway Cup, 89-Series Compostable",pla,Vegware,,,"Gallery Design Double Wall Hot Takeaway Cup, 89-Series","",Recyclable
VEG-CC-12-5,"Vegware 12oz PLA Cold Cup, 96 Series Compostable",pla,Vegware,,PLA,"Cold Cup, 96 Series","",Compostable
VEG-CC-12-GN,"Vegware 12oz PLA Cold Cup, 96 Series Green Tree Recyclable/Compostable",pla,Vegware,,PLA,"Cold Cup, 96 Series Green Tree","",Compostable
VEG-CUP-SW-12-KR,"Vegware 12oz Single Wall Brown (Kraft) Takeaway Hot Cup, 89 Series Compostable","kraft, pla, plastic",Vegware,Brown,Kraft,"Single Wall Takeaway Hot Cup, 89 Series","",""
VEG-CUP-SW-12,"Vegware 12oz Single Wall Feel Good Takeaway Hot Cup, 89 Series Compostable","",Vegware,,,"Single Wall Feel Good Takeaway Hot Cup, 89 Series",12oz,""
VEG-CUP-SW-12-GN,"Vegware 12oz Single Wall Hot Cup, 89 Series Green Tree Compostable","",Vegware,,,"Single Wall Hot Cup, 89 Series Green Tree",12oz,""
VEG-CUP-SW-12-WH,"Vegware 12oz Single Wall White Takeaway Hot Cup, 89 Series Compostable","",Vegware,White,,"Single Wall Takeaway Hot Cup, 89 Series",12oz,""
VEG-CC-12-3,"Vegware 12oz Takeaway Paper Cold Cup, 89-Series Compostable","paper, pla",Vegware,,Paper,"Takeaway Cold Cup, 89-Series",12oz,Compostable
VEG-CUP-DW-16-BK,Vegware 16oz Black Double Wall Takeaway Cup,"paper, pla",Vegware,Black,,Double Wall Takeaway Cup,16oz,Compostable
VEG-CUP-DW-16-WH,"Vegware 16oz Double Wall White Takeaway Hot Cup, 89 Series, Compostable (Case of 500)",pla,Vegware,White,,"Double Wall Takeaway Hot Cup, 89 Series","",Recyclable
VEG-CUP-DW-16,Vegware 16oz Feel Good double wall hot cup Compostable,"",Vegware,,,Feel Good double wall hot cup,16oz,Compostable
VEG-CUP-DW-16-3,"Vegware 16oz Gallery Design Double Wall Hot Takeaway Cup, 89-Series Compostable",pla,Vegware,,,"Gallery Design Double Wall Hot Takeaway Cup, 89-Series","",Recyclable
VEG-CC-16-4,"Vegware 16oz PLA Cold Cup, 96 Series Compostable",pla,Vegware,,PLA,"Cold Cup, 96 Series","",Compostable
VEG-CC-16-3,"Vegware 16oz PLA Plain Cold Cup, 96 Series Compostable",pla,Vegware,,PLA,"Plain Cold Cup, 96 Series","",Compostable
VEG-CUP-SW-16-KR,"Vegware 16oz Single Wall Brown (Kraft) Takeaway Hot Cup, 89 Series Compostable","kraft, pla, plastic",Vegware,Brown,Kraft,"Single Wall Takeaway Hot Cup, 89 Series","",""
VEG-CUP-SW-16-GN,"Vegware 16oz Single Wall Hot Cup, 89 Series Green Tree Compostable","",Vegware,,,"Single Wall Hot Cup, 89 Series Green Tree",16oz,""
VEG-CUP-SW-16-WH,"Vegware 16oz Single Wall White Takeaway Hot Cup, 89 Series Compostable","",Vegware,White,,"Single Wall Takeaway Hot Cup, 89 Series",16oz,""
VEG-CC-16-2,"Vegware 16oz Takeaway Paper Cold Cup, 89-Series Compostable","paper, pla",Vegware,,Paper,"Takeaway Cold Cup, 89-Series",16oz,Compostable
VEG-CC-20-4,"Vegware 20oz PLA Cold Cup, 96 Series Compostable",pla,Vegware,,PLA,"Cold Cup, 96 Series","",Compostable
VEG-CC-20-3,"Vegware 20oz PLA Plain Cold Cup, 96 Series Compostable",pla,Vegware,,PLA,"Plain Cold Cup, 96 Series","",Compostable
VEG-CUP-SW-20-WH,"Vegware 20oz Single Wall White Takeaway Hot Cup, 89 Series Compostable",pp,Vegware,White,,"Single Wall Takeaway Hot Cup, 89 Series",20oz,""
VEG-CC-20-2,"Vegware 20oz Takeaway paper cold cup, 89-Series Compostable","paper, pla",Vegware,,Paper,"Takeaway cold cup, 89-Series","",Compostable
VEG-CUP-SW-4-KR,"Vegware 4oz Single Wall Brown (Kraft) Takeaway Hot Cup, 62 Series Compostable","kraft, pla, plastic",Vegware,Brown,Kraft,"Single Wall Takeaway Hot Cup, 62 Series","",""
VEG-CUP-SW-4,"Vegware 4oz Single Wall Feel Good Takeaway Hot Cup, 62 Series Compostable",pp,Vegware,,,"Single Wall Feel Good Takeaway Hot Cup, 62 Series",4oz,""
VEG-CUP-SW-4-GN,"Vegware 4oz Single Wall Hot Cup, 62 Series Green Tree Compostable",pp,Vegware,,,"Single Wall Hot Cup, 62 Series Green Tree",4oz,""
VEG-CUP-SW-4-WH,"Vegware 4oz Single Wall White Takeaway Hot Cup, 62 Series Compostable",pp,Vegware,White,,"Single Wall Takeaway Hot Cup, 62 Series",4oz,""
VEG-CC-5-2,"Vegware 5oz PLA Cold Cup, 76 Series Compostable",pla,Vegware,,PLA,"Cold Cup, 76 Series","",Compostable
VEG-CC-5-GN,"Vegware 5oz PLA Cold Cup, 76 Series Green Tree Compostable",pla,Vegware,,PLA,"Cold Cup, 76 Series Green Tree","",Compostable
VEG-CC-5,"Vegware 5oz PLA Plain Cold Cup, 76 Series Compostable",pla,Vegware,,PLA,"Plain Cold Cup, 76 Series","",Compostable
VEG-LID-6,Vegware 62-Series CPLA Hot Cup Lid Compostable,"pla, cpla",Vegware,,CPLA,62-Series Hot Cup Lid,"",Compostable
VEG-CUP-SW-6-KR,"Vegware 6oz Single Wall Brown (Kraft) Takeaway Hot Cup, 72 Series Compostable","kraft, pla, plastic",Vegware,Brown,Kraft,"Single Wall Takeaway Hot Cup, 72 Series","",""
VEG-CUP-SW-6,"Vegware 6oz Single Wall Feel Good Takeaway Hot Cup, 72 Series Compostable","pla, plastic",Vegware,,,"Single Wall Feel Good Takeaway Hot Cup, 72 Series",16oz,""
VEG-CUP-SW-6-GN,"Vegware 6oz Single Wall Hot Cup, 72 Series Green Tree Compostable","",Vegware,,,"Single Wall Hot Cup, 72 Series Green Tree",6oz,""
VEG-CUP-SW-6-WH,"Vegware 6oz Single Wall White Hot Cup, 79 Series Compostable","",Vegware,White,,"Single Wall Hot Cup, 79 Series",6oz,""
VEG-CUP-SW-6-WH-2,"Vegware 6oz Single Wall White Takeaway Hot Cup, 72 Series Compostable","",Vegware,White,,"Single Wall Takeaway Hot Cup, 72 Series",6oz,""
VEG-LID-2,Vegware 79-Series Paper Takeaway Hot Cup Lid Compostable,"paper, pla",Vegware,,Paper,79-Series Takeaway Hot Cup Lid,"",Compostable
VEG-CC-7,"Vegware 7oz PLA Cold Cup, 76 Series Compostable",pla,Vegware,,PLA,"Cold Cup, 76 Series","",Compostable
VEG-CC-7-2,Vegware 7oz PLA Water Cup Compostable,pla,Vegware,,PLA,Water Cup,"",Compostable
VEG-CC-2,Vegware 89-Series Nourish Fibre Dome Cold Cup Lid – STRAW SLOT,fibre,Vegware,,Fibre,89-Series Nourish Dome Cold Cup Lid STRAW SLOT,"",Compostable
VEG-CC-FL,Vegware 89-Series Nourish Moulded Fibre Flat Lid – STRAW SLOT,fibre,Vegware,,Fibre,89-Series Nourish Flat Lid STRAW SLOT,"",Compostable
VEG-LID,Vegware 89-Series Paper Takeaway Hot Cup Lid Compostable,"paper, pla",Vegware,,Paper,89-Series Takeaway Hot Cup Lid,"",Compostable
VEG-CUP-DW-8-BK,Vegware 8oz Black Double Wall Takeaway Cup,"",Vegware,Black,,Double Wall Takeaway Cup,8oz,Compostable
VEG-CUP-DW-8-KR-2,"Vegware 8oz Double Wall Brown (Kraft) Hot Takeaway Cup, 79 Series Recyclable/Compostable","pla, plastic",Vegware,Brown,Kraft,"Double Wall Hot Takeaway Cup, 79 Series","",""
VEG-CUP-DW-8-GN,"Vegware 8oz Double Wall Hot Takeaway Cup, 79 Series Green Tree Compostable","paper, pla",Vegware,,,"Double Wall Hot Takeaway Cup, 79 Series Green Tree","",Recyclable
VEG-CUP-DW-8-WH-2,"Vegware 8oz Double Wall White Takeaway Hot Cup, 79 Series, Compostable (Case of 500)",pla,Vegware,White,,"Double Wall Takeaway Hot Cup, 79 Series","",Recyclable
VEG-CUP-DW-8,Vegware 8oz Feel Good double wall hot cup Compostable,"",Vegware,,,Feel Good double wall hot cup,8oz,Compostable
VEG-CUP-DW-8-4,"Vegware 8oz Gallery Design Double Wall Hot Takeaway Cup, 79-series Compostable",pla,Vegware,,,"Gallery Design Double Wall Hot Takeaway Cup, 79-series","",Recyclable
VEG-CUP-SW-8-KR,"Vegware 8oz Single Wall Brown (Kraft) Takeaway Hot Cup, 79 Series Compostable","kraft, pla, plastic",Vegware,Brown,Kraft,"Single Wall Takeaway Hot Cup, 79 Series","",""
VEG-CUP-SW-8,"Vegware 8oz Single Wall Feel Good Takeaway Hot Cup, 79 Series Compostable","",Vegware,,,"Single Wall Feel Good Takeaway Hot Cup, 79 Series",8oz,""
VEG-CUP-SW-8-GN,"Vegware 8oz Single Wall Hot Cup, 79 Series Green Tree Compostable","",Vegware,,,"Single Wall Hot Cup, 79 Series Green Tree",8oz,""
VEG-CUP-SW-8-WH,"Vegware 8oz Single Wall White Takeaway Hot Cup, 79 Series Compostable","",Vegware,White,,"Single Wall Takeaway Hot Cup, 79 Series",8oz,""
VEG-LID-8-WH-3,Vegware 8oz White Moulded Fibre Hot Cup Lid Compostable (Case of 1000),"bagasse, pla, plastic",Vegware,White,Fibre,Hot Cup Lid,"80mm, 8oz",Compostable
