sku,original_name,original_material,proposed_brand,proposed_colour,proposed_material,proposed_name,size,certifications
VEG-CNT-SQ-KR,"Vegware Square Kraft Paper Lid – Food Container Lid, Compostable","kraft, paper, pp",Vegware,,Kraft,Square Lid Food Container Lid,"",Compostable
VEG-BOX-2,Vegware Standard Carry Pack Compostable (Case of 125),pla,Vegware,,,Standard Carry Pack,"",Compostable
IC-4-2,4oz Ice Cream Tub Domed rPET Lid (Case of 1000),"paper, rpet, pet",,,rPET,Ice Cream Tub Domed Lid,"4oz, 6oz, 8oz",""
IC-4-3,4oz Ice Cream Tub Paper Lid Recyclable (Case of 500),"paper, rpet, pet",,,Paper,Ice Cream Tub Lid,"4oz, 6oz, 8oz",""
IC-6-2,6oz Ice Cream Tub Domed rPET Lid Recyclable (Case of 1000),"paper, rpet, pet",,,rPET,Ice Cream Tub Domed Lid,"4oz, 6oz, 8oz",""
IC-6-3,6oz Ice Cream Tub Paper Lid Recyclable (Case of 500),"paper, rpet, pet",,,Paper,Ice Cream Tub Lid,"4oz, 6oz, 8oz",""
IC-8-2,8oz Ice Cream Tub Domed rPET Lid Recyclable (Case of 1000),"paper, rpet, pet",,,rPET,Ice Cream Tub Domed Lid,"4oz, 6oz, 8oz",""
IC-8-3,8oz Ice Cream Tub Paper Lid Recyclable (Case of 500),"paper, rpet, pet",,,Paper,Ice Cream Tub Lid,"4oz, 6oz, 8oz",""
IC-8,Knickerbocker Glory Dessert Cups – 231ml/8oz Recyclable Plastic Cup (Case of 1000),"pla, pet, plastic",,,Plastic,Knickerbocker Glory Dessert Cups Cup,231ml,Recyclable
IC-5-OR,Orange Paper Ice Cream Tub (160ml/5oz) RECYCLABLE,paper,,Orange,Paper,Ice Cream Tub,"",""
IC-5-PK,Pink Paper Ice Cream Tub (100ml/3.5oz) RECYCLABLE,"paper, pla",,Pink,Paper,Ice Cream Tub,"",""
VEG-IC-3,Vegware 3oz Ice Cream Pot Compostable,pla,Vegware,,,Ice Cream Pot,3 oz,Compostable
VEG-IC-4,Vegware 4oz Ice Cream Pot,"paper, pla",Vegware,,,Ice Cream Pot,4oz,Compostable
VEG-IC-4-5,Vegware 4oz Soup/Gelato Pot Compostable,pla,Vegware,,,Soup/Gelato Pot,"",Compostable
VEG-IC-6,Vegware 6 oz Ice Cream Pot (90‑Series) Compostable,pla,Vegware,,,Ice Cream Pot (90‑Series),6 oz,Compostable
NAP-40-BL,40cm Navy Blue 8-Fold Tablin Pop-In Napkin – Compostable (Case of 500),"",,Blue,,Navy 8-Fold Tablin Pop-In Napkin,"",Compostable
NAP-30-WH,Soft White Napkin 30cm 1-Ply – Recyclable,"paper, pp",,White,,Soft Napkin 1-Ply,30cm,"Recyclable, Biodegradable"
VEG-NAP-24,Vegware 24cm 2-Ply Unbleached Napkin Compostable,fibre,Vegware,,,2-Ply Unbleached Napkin,"",""
VEG-NAP-33-GN,Vegware 33cm 1-Ply Dispenser Napkin Green Tree Recyclable/Compostable (Case of 4000),fibre,Vegware,,,1-Ply Dispenser Napkin Green Tree,"",""
VEG-NAP-33,Vegware 33cm 1-Ply Unbleached Dispenser Napkin (2 free dispensers) Compostable,"pp, cardboard, fibre",Vegware,,,1-Ply Unbleached Dispenser Napkin (2 free dispensers),"",""
VEG-NAP-33-2,Vegware 33cm 2-Ply Unbleached Napkin Compostable,fibre,Vegware,,,2-Ply Unbleached Napkin,"",""
VEG-NAP-33-WH,Vegware 33cm 2-Ply White Napkin Compostable,fibre,Vegware,White,,2-Ply Napkin,"",""
VEG-NAP-40,Vegware 40cm 2-Ply Unbleached Napkin Compostable,fibre,Vegware,,,2-Ply Unbleached Napkin,"",""
